ErrorModel	Score
0.4	188275.017933
0.4	223468.277459
0.2	199773.208865
0.1	195236.905796
0.05	192414.318587
0.025	191377.903222
0.0125	187999.846175
0.00625	190986.068063
0.015625	191107.053147
0.0109375	191017.474828
0.01328125	191057.035379
0.012109375	191035.772322
0.0126953125	191046.066750
0.01240234375	191040.846710
0.012548828125	191043.425218
0.0124755859375	191042.141841
